date,open,high,low,close,volume
1971.01.03-00:00,0.53690,0.53710,0.53650,0.53710,5
1971.01.10-00:00,0.53710,0.53760,0.53710,0.53760,5
1971.01.17-00:00,0.53790,0.53860,0.53770,0.53860,5
1971.01.24-00:00,0.53850,0.53880,0.53850,0.53870,5
1971.01.31-00:00,0.53860,0.53890,0.53840,0.53840,5
1971.02.07-00:00,0.53850,0.53860,0.53810,0.53810,4
1971.02.14-00:00,0.53850,0.53870,0.53840,0.53850,4
1971.02.21-00:00,0.53880,0.53890,0.53790,0.53790,5
1971.02.28-00:00,0.53830,0.53900,0.53820,0.53860,5
1971.03.07-00:00,0.53850,0.53880,0.53840,0.53850,5
1971.03.14-00:00,0.53840,0.53870,0.53840,0.53870,5
1971.03.21-00:00,0.53870,0.53870,0.53860,0.53870,5
1971.03.28-00:00,0.53840,0.53890,0.53840,0.53890,5
1971.04.04-00:00,0.53850,0.53870,0.53850,0.53870,5
1971.04.11-00:00,0.53810,0.53820,0.53770,0.53770,5
1971.04.18-00:00,0.53670,0.53810,0.53670,0.53730,5
1971.04.25-00:00,0.53750,0.53840,0.53750,0.53840,5
1971.05.02-00:00,0.53850,0.54790,0.53850,0.54790,5
1971.05.09-00:00,0.55250,0.55250,0.54800,0.55150,5
1971.05.16-00:00,0.55130,0.55860,0.55130,0.55860,5
1971.05.23-00:00,0.55730,0.55730,0.55140,0.55140,5
1971.05.30-00:00,0.54780,0.55450,0.54780,0.55450,4
1971.06.06-00:00,0.55540,0.55770,0.55540,0.55770,5
1971.06.13-00:00,0.55770,0.55820,0.55770,0.55790,5
1971.06.20-00:00,0.55800,0.55980,0.55800,0.55860,5
1971.06.27-00:00,0.55820,0.55920,0.55820,0.55870,5
1971.07.04-00:00,0.55870,0.55880,0.55860,0.55880,4
1971.07.11-00:00,0.55860,0.56280,0.55860,0.56280,5
1971.07.18-00:00,0.56320,0.56460,0.56280,0.56460,5
1971.07.25-00:00,0.56440,0.56510,0.56440,0.56510,5
1971.08.01-00:00,0.56490,0.56760,0.56490,0.56760,5
1971.08.08-00:00,0.57370,0.57750,0.57360,0.57730,5
1971.08.22-00:00,0.57080,0.57730,0.57080,0.57510,5
1971.08.29-00:00,0.57500,0.57720,0.57500,0.57720,5
1971.09.05-00:00,0.57690,0.57770,0.57640,0.57770,4
1971.09.12-00:00,0.57780,0.58110,0.57780,0.58110,5
1971.09.19-00:00,0.58630,0.59070,0.58420,0.59010,5
1971.09.26-00:00,0.59030,0.59040,0.58890,0.58890,5
1971.10.03-00:00,0.58820,0.59010,0.58820,0.58990,5
1971.10.10-00:00,0.58830,0.58830,0.58590,0.58630,4
1971.10.17-00:00,0.58860,0.58950,0.58650,0.58650,5
1971.10.24-00:00,0.58700,0.58700,0.58580,0.58580,4
1971.10.31-00:00,0.58650,0.58650,0.58580,0.58590,4
1971.11.07-00:00,0.58520,0.58550,0.58410,0.58550,5
1971.11.14-00:00,0.58570,0.58650,0.58490,0.58650,5
1971.11.21-00:00,0.58740,0.59120,0.58740,0.59120,4
1971.11.28-00:00,0.59080,0.59810,0.59040,0.59810,5
1971.12.05-00:00,0.60160,0.60160,0.59670,0.59670,5
1971.12.12-00:00,0.59710,0.60060,0.59710,0.60060,2
1972.01.02-00:00,0.59770,0.59940,0.59760,0.59940,5
1972.01.09-00:00,0.60120,0.60860,0.60120,0.60860,5
1972.01.16-00:00,0.60950,0.60950,0.60730,0.60750,5
1972.01.23-00:00,0.60930,0.60980,0.60900,0.60900,5
1972.01.30-00:00,0.60920,0.61430,0.60920,0.61070,5
1972.02.06-00:00,0.61110,0.61340,0.61110,0.61310,5
1972.02.13-00:00,0.61390,0.61970,0.61390,0.61640,5
1972.02.20-00:00,0.61560,0.61640,0.61240,0.61240,4
1972.02.27-00:00,0.61340,0.61490,0.61340,0.61430,5
1972.03.05-00:00,0.61600,0.61960,0.61600,0.61920,5
1972.03.12-00:00,0.61890,0.61890,0.59650,0.59650,5
1972.03.19-00:00,0.61630,0.61700,0.61460,0.61460,5
1972.03.26-00:00,0.61650,0.61740,0.61650,0.61740,5
1972.04.02-00:00,0.61750,0.61750,0.61630,0.61630,5
1972.04.09-00:00,0.61630,0.61680,0.61550,0.61550,5
1972.04.16-00:00,0.61550,0.61550,0.61200,0.61360,5
1972.04.23-00:00,0.61580,0.61580,0.61500,0.61500,5
1972.04.30-00:00,0.61510,0.61540,0.61450,0.61510,5
1972.05.07-00:00,0.61480,0.61630,0.61480,0.61530,5
1972.05.14-00:00,0.61450,0.61510,0.61390,0.61470,5
1972.05.21-00:00,0.61510,0.61560,0.61470,0.61530,55
1972.05.28-00:00,0.61590,0.61590,0.61550,0.61550,34
1972.06.04-00:00,0.61550,0.61650,0.61540,0.61630,135
1972.06.11-00:00,0.61750,0.61860,0.61720,0.61730,225
1972.06.18-00:00,0.61660,0.62210,0.61280,0.62120,515
1972.06.25-00:00,0.62140,0.62190,0.61700,0.62060,745
1972.07.02-00:00,0.62080,0.62090,0.61980,0.62060,114
1972.07.09-00:00,0.62010,0.62130,0.61970,0.62070,265
1972.07.16-00:00,0.62100,0.62100,0.61660,0.61720,255
1972.07.23-00:00,0.61660,0.61670,0.61550,0.61590,205
1972.07.30-00:00,0.61590,0.61590,0.61470,0.61540,25
1972.08.06-00:00,0.61570,0.61570,0.61390,0.61420,55
1972.08.13-00:00,0.61450,0.61480,0.61190,0.61200,245
1972.08.20-00:00,0.61140,0.61400,0.61140,0.61230,285
1972.08.27-00:00,0.61290,0.61370,0.61250,0.61290,165
1972.09.03-00:00,0.61330,0.61440,0.61310,0.61380,114
1972.09.10-00:00,0.61320,0.61370,0.61250,0.61250,85
1972.09.17-00:00,0.61150,0.61260,0.61150,0.61250,85
1972.09.24-00:00,0.61200,0.61210,0.61040,0.61040,65
1972.10.01-00:00,0.60860,0.61170,0.60840,0.61150,365
1972.10.08-00:00,0.61080,0.61120,0.60890,0.60890,154
1972.10.15-00:00,0.60930,0.61120,0.60910,0.61000,475
1972.10.22-00:00,0.60830,0.61010,0.60830,0.60990,154
1972.10.29-00:00,0.61030,0.61120,0.61010,0.61120,95
1972.11.05-00:00,0.61040,0.61040,0.60950,0.60950,64
1972.11.12-00:00,0.60930,0.60980,0.60920,0.60940,165
1972.11.19-00:00,0.61010,0.61050,0.61010,0.61050,4
1972.11.26-00:00,0.61170,0.61340,0.61140,0.61330,225
1972.12.03-00:00,0.61230,0.61250,0.61160,0.61190,5
1972.12.10-00:00,0.61170,0.61170,0.61140,0.61140,2
1972.12.31-00:00,0.61000,0.61060,0.61000,0.61010,44
1973.01.07-00:00,0.60980,0.61110,0.60980,0.60990,145
1973.01.14-00:00,0.60900,0.60900,0.60850,0.60870,35
1973.01.21-00:00,0.61270,0.61520,0.61120,0.61460,405
1973.01.28-00:00,0.61820,0.62070,0.61810,0.61900,265
1973.02.04-00:00,0.62050,0.62290,0.62020,0.62180,465
1973.02.11-00:00,0.66030,0.66230,0.66020,0.66020,164
1973.02.18-00:00,0.65900,0.68570,0.65900,0.68240,1714
1973.02.25-00:00,0.67800,0.71180,0.67750,0.70900,4505
1973.03.04-00:00,0.69580,0.70530,0.69550,0.70340,1775
